Platform,Algorithm,Engine,FileSize_MB,NumThreads,Time_Sec,Throughput_MBs,Speedup,Efficiency,Verified,Energy_Joules,Power_Watts,Energy_Source
macOS,XOR,Sequential,1024,1,0.868848,1178.57,1.0000,1.0000,PASS,13.6043,15.68,Apple Silicon (estimated)
macOS,AES-256-CTR,Sequential,1024,1,0.116946,8756.21,1.0000,1.0000,PASS,1.4858,12.71,Apple Silicon (estimated)
macOS,XOR,OpenMP,1024,1,1.067887,958.90,0.8136,0.8136,PASS,13.3783,12.53,Apple Silicon (estimated)
macOS,XOR,OpenMP,1024,2,0.523647,1955.52,1.6592,0.8296,PASS,11.0422,21.10,Apple Silicon (estimated)
macOS,XOR,OpenMP,1024,4,0.263917,3880.01,3.2921,0.8230,PASS,4.2009,15.88,Apple Silicon (estimated)
macOS,XOR,OpenMP,1024,8,0.133345,7679.31,6.5158,0.8145,PASS,3.5189,26.41,Apple Silicon (estimated)
macOS,XOR,OpenMP,1024,14,0.131581,7782.27,6.6031,0.4717,PASS,3.8802,29.45,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,1024,1,0.116614,8781.10,1.0028,1.0028,PASS,2.0969,17.99,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,1024,2,0.058694,17446.52,1.9925,0.9962,PASS,1.6123,27.48,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,1024,4,0.029462,34756.88,3.9694,0.9923,PASS,0.8318,28.21,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,1024,8,0.015491,66102.90,7.5493,0.9437,PASS,0.4183,26.96,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,1024,14,0.014443,70901.31,8.0973,0.5784,PASS,0.4336,30.00,Apple Silicon (estimated)
macOS,XOR,Metal,1024,1,0.359020,2852.21,2.4201,2.4201,PASS,6.5799,18.68,Apple Silicon (estimated)
macOS,AES-256-CTR,Metal,1024,1,0.476034,2151.11,0.2457,0.2457,PASS,6.4243,13.41,Apple Silicon (estimated)
macOS,XOR,Sequential,5120,1,4.334567,1181.20,1.0000,1.0000,PASS,58.7731,13.56,Apple Silicon (estimated)
macOS,AES-256-CTR,Sequential,5120,1,0.582567,8788.68,1.0000,1.0000,PASS,13.5262,23.22,Apple Silicon (estimated)
macOS,XOR,OpenMP,5120,1,5.308669,964.46,0.8165,0.8165,PASS,76.0134,14.31,Apple Silicon (estimated)
macOS,XOR,OpenMP,5120,2,2.735072,1871.98,1.5848,0.7924,PASS,48.2492,17.59,Apple Silicon (estimated)
macOS,XOR,OpenMP,5120,4,1.322831,3870.49,3.2767,0.8192,PASS,28.8833,21.87,Apple Silicon (estimated)
macOS,XOR,OpenMP,5120,8,0.830514,6164.85,5.2191,0.6524,PASS,23.0656,27.67,Apple Silicon (estimated)
macOS,XOR,OpenMP,5120,14,1.324730,3864.94,3.2720,0.2337,PASS,35.4259,26.86,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,5120,1,0.590434,8671.58,0.9867,0.9867,PASS,14.6310,24.74,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,5120,2,0.297371,17217.53,1.9591,0.9795,PASS,8.7676,29.48,Apple Silicon (estimated)
macOS,AES-256-CTR,OpenMP,5120,4,0.219637,23311.15,2.6524,0.6631,PASS,6.2667,27.84,Apple Silicon (estimated)
